" Copy"," Kopírovat"
"No problems found.","Nebyly zjištěny žádné problémy."
"No subscribers selected.","Žádní odběratelé nebyli vybráni."
"Not Activated","Není aktivován"
"Not Sent","Nebyla odeslána"
"Pause","Pozastavit"
"Paused","Pozastaveno"
"Please enter a valid email address.","Zadejte prosím platnou e-mailovou adresu."
"Please enter new template name","Zadejte název nové šablony"
"Please refer to exeption.log","Viz exeption.log"
"Please select subscriber(s)","Vyberte odběratele"
"Preview","Náhled"
"Preview Template","Náhled šablony"
"Processed","Zpracované"
"Queue Date Start","Datum spuštění fronty"
"Queue Finish","Konec fronty"
"Queue Information","Informace o frontě"
"Queue Newsletter...","Fronta zpravodaje..."
"Queue Start","Start fronty"
"Queue Subject","Předmět fronty"
"Recipients","Příjemci"
"Reset","Obnovit"
"Resume","Pokračovat"
"Return HTML Version","HTML verze"
"Save As","Uložit jako"
"Save Newsletter","Uložit zpravodaj"
"Save Template","Uložit šablonu"
"Save and Resume","Uložit a pokračovat"
"Selected problem subscribers have been unsubscribed.","Vybraní problémoví odběratelé byli odhlášeni."
"Selected problems have been deleted.","Vybrané problémy jsou odstraněny."
"Sender","Odesílatel"
"Sender Email","E-mail odesílatele"
"Sender Name","Jméno odesílatele"
"Sending","Odesílám"
"Sent","Odesláno"
"Sign Up for Our Newsletter:","Přihlaste se k odběru zpravodaje:"
"Sign up for our newsletter","Přihlaste se k odběru zpravodaje"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Omlouváme se, ale nepřihlášený uživatel se nemůže přihlásit k odběru. Prosím, <a href=""%s""> zaregistrujte se</a>."
"Start","Začít"
"Status","Stav"
"Store","Obchod"
"Store View","Pohled obchodu"
"Subject","Předmět"
"Submit","Odeslat"
"Subscribe","Přihlásit k odběru"
"Subscribed","Odebírané"
"Subscriber","Odběratel"
"Subscribers","Odběratelé"
"Subscribers From","Odběratelé od"
"Subscription Options","Možnosti odběru"
"Success Email Sender","Email odesílate v případě úspěchu"
"Success Email Template","Šablona emailu v případě úspěchu"
"Template Content","Obsah šablony"
"Template Information","Informace o šabloně"
"Template Name","Název šablony"
"Template Styles","Šablony stylů"
"Template Subject","Předmět šablony"
"Template Type","Typ šablony"
"Thank you for your subscription.","Děkujeme za přihlášení k odběru novinek."
"The subscription has been removed.","Odběr byl odstraněn."
"The subscription has been saved.","Odběr byl uložen."
"There was a problem with the subscription.","Došlo k potížím s odběrem."
"There was a problem with the subscription: %s","Došlo k potížím s odběrem: %s"
"There was a problem with the un-subscription.","Došlo k potížím s odhlášením odběru."
"This email address is already assigned to another user.","Tato e-mailová adresa je již přiřazena jinému uživateli."
"Type","Typ"
"Unconfirmed","Nepotvrzené"
"Unsubscribe","Zrušit odběr"
"Unsubscribe Selected","Zrušit vybrané"
"Unsubscribed","Odhlášené"
"Unsubscription Email Sender","E-mail odesílatele odhlášení"
"Unsubscription Email Template","Šablona e-mailu pro odhlášení"
"View Newsletter","Zobrazit zpravodaj"
"Website","Webová stránka"
"You have been unsubscribed.","Byl jste odhlášen."
"Your subscription has been confirmed.","Vaše přihlášení bylo potvrzeno."
