"%s was added to your shopping cart.","Produkt %s byl přidán do nákupního košíku."
"%s was updated in your shopping cart.","%s byl aktualizován v nákupním košíku."
"(Excl. Tax)","(Bez DPH)"
"Checkout with Multiple Addresses","Pokladna s více adresami"
"City","Město"
"Clear Shopping Cart","Vyprázdnít nákupní košík"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klikněte <a href=""%s"" onclick=""this.target=\'_blank\'""> zde pro tisk</a> potvrzení vaší objednávky."
"Click <a href=""%s"">here</a> to continue shopping.","Klikněte <a href=""%s""> zde</a> pro pokračování v nákupu."
"Close","Zavřít‏"
"Company","Společnost"
"Condition Name","Název podmínky"
"Configurable Product Image","Obrázek konfigurovatelného produktu"
"Configure Cart Item","Konfigurace položky košíku"
"Confirm Password","Potvrdit heslo"
"Content","Obsah"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Pokračovat"
"Continue Shopping","Pokračovat v nákupu"
"Continue to Billing Information","Pokračovat k fakturačním údajům"
"Continue to Review Your Order","Continue to Review Your Order"
"Continue to Shipping Information","Pokračovat na informace o dopravě"
"Country","Země"
"Coupon code ""%s"" is not valid.","Kód poukazu ""%s"" není platný."
"Coupon code ""%s"" was applied.","Kód poukazu ""%s"" byl použit."
"Coupon code was canceled.","Kód poukazu byl zrušen."
"Create Billing Address","Vytvořit fakturační adresu"
"Create Shipping Address","Vytvořit dodací adresu"
"Create an order from shopping cart","Vytvoření objednávky z nákupního košíku"
"Create shopping cart","Vytvořit nákupní košík"
"Customer Address is not valid.","Adresa zákazníka není platná."
"Customer Information","Informace o zákazníkovi"
"Customer's information","Informace zákazníka"
"Data saving problem","Problém s ukládáním"
"Default Billing","Výchozí fakturace"
"Default Shipping","Výchozí doprava"
"Delete Condition","Odstranit podmínku"
"Details","Podrobnosti"
"Disabled","Zakázáno"
"Discount Codes","Slevové kódy"
"Display Cart Summary","Zobrazit shrnutí košíku"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Display item quantities"
"Display number of items in cart","Zobrazit počet položek v košíku"
"Display number of items in wishlist","Zobrazit počet položek v seznamu přání"
"Easy access to your order history and status","Snadný přístup k historii objednávek a jejich stavům"
"Edit","Upravit"
"Edit Address","Upravit adresu"
"Edit Billing Address","Upravit fakturační adresu"
"Edit Condition","Upravit podmínku"
"Edit Items","Upravit položky"
"Edit Shipping Address","Upravit dodací adresu"
"Edit Terms and Conditions","Upravit obchodní podmínky"
"Edit Your Cart","Úpravit košík"
"Edit item","Upravit položku"
"Edit item parameters","Upravit parametry položky"
"Email Address","E-mailová adresa"
"Empty Cart","Prázdný košík"
"Empty Shopping Cart Content Before","Empty Shopping Cart Content Before"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Enable Terms and Conditions","Povolit obchodní podmínky"
"Enabled","Povoleno"
"Enter a New Address","Zadejte novou adresu"
"Enter your coupon code if you have one.","Kód slevového kupónu."
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate."
"Estimate","Odhad"
"Estimate Shipping and Tax","Odhad poštovného a DPH"
"Excl. Tax","Bez DPH"
"Fast and easy check out","Rychlá a snadná pokladna"
"Fax","Fax"
"Forgot an Item?","Zapomněli jste na něco?"
"Forgot your password?","Zapomněli jste heslo?"
"Get a Quote","Získat nabídku"
"Get list of available payment methods","Získat seznam dostupných platebních metod"
"Get list of available shipping methods","Získat seznam dostupných dodacích metody"
"Get list of products in shopping cart","Získat seznam zboží v nákupním košíku"
"Get terms and conditions","Obchodní podmínky"
"Get total prices for shopping cart","Dotázat se na celkovou cenu za nákupní košík"
"Gift Message","Vzkaz k dárku"
"Grand Total:","Celkový součet:"
"Grouped Product Image","Obrázek seskupeného produktu"
"HTML","HTML"
"ID","ID"
"Incl. Tax","S DPH"
"Invalid checkout type.","Invalid checkout type."
"Invalid data.","Neplatná data."
"Invalid email address ""%s""","Neplatná e-mailová adresa ""%s"""
"Invalid method: %s","Neplatná metoda: %s"
"Invalid shipping method.","Neplatny způsob dopravy."
"Item not found or already ordered","Položka nebyla nalezena nebo je již objednána"
"Item was removed successfully.","Položka byla úspěšně odebrána."
"Item was updated successfully.","Položka byla úspěšně aktualizována."
"Items","Položky"
"Items After","Zboží po"
"Items Before","Zboží před"
"Load customer quote error","Load customer quote error"
"Loading next step...","Načítám další krok..."
"Login","Přihlášení"
"Login/Registration Before","Přihlášení/Registrace před"
"Manage Terms and Conditions","Správa obchodních podmínek"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximální množství povolené pro dopravu na více adres je %s"
"Mini-cart promotion block","Mini-cart promotion block"
"Minimum order amount is %s","Minimální výše objednávky je %s"
"Move","Přesunout"
"Move to Wishlist","Přesunout do seznamu přání"
"Move to wishlist","Přesunout do seznamu přání"
"Multishipping Checkout","Multishipping Checkout"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Overview","Multishipping Checkout Overview"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Shipping Address Selection","Multishipping Checkout Shipping Address Selection"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Shipping Information Step"
"Multishipping Checkout Success","Multishipping Checkout Success"
"My Cart","Můj košík"
"My Cart (%s item)","Můj košík (položek: %s)"
"My Cart (%s items)","Můj košík (položek: %s)"
"My Cart Extra Actions","My Cart Extra Actions"
"My Cart Link","My Cart Link"
"New Address","Nová adresa"
"New Condition","New Condition"
"New Terms and Conditions","New Terms and Conditions"
"No Payment Methods","Nebyla vybrána platební metoda"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER"
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","One Page Checkout Failure"
"One Page Checkout Overview","One Page Checkout Overview"
"One Page Checkout Success","One Page Checkout Success"
"One item of products do not have identifier or sku","One item of products do not have identifier or sku"
"One item of products is not belong any of quote item","One item of products is not belong any of quote item"
"Order #","Order #"
"Order Review","Přehled objednávky"
"Order Success","Order Success"
"Order place error.","Order place error."
"Other Items in Your Order","Other Items in Your Order"
"Overview Items After","Overview Items After"
"Password","Heslo"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Informace o platbě"
"Payment Method","Payment Method"
"Payment Methods After","Payment Methods After"
"Payment Methods After Checkout Button","Payment Methods After Checkout Button"
"Payment Methods Before","Payment Methods Before"
"Payment Methods Before Checkout Button","Payment Methods Before Checkout Button"
"Payment method information","Informace o platbě"
"Payment method is not defined","Způsob platby není definován"
"Payment methods in shopping cart","Způsoby platby v nákupní košík"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","Objednat"
"Please agree to all Terms and Conditions before placing the order.","Před objednáním musíte souhlasit s obchodními podmínkami."
"Please agree to all Terms and Conditions before placing the orders.","Před objednáním musíte souhlasit s obchodními podmínkami."
"Please agree to all the terms and conditions before placing the order.","Před objednáním musíte souhlasit s obchodními podmínkami."
"Please check billing address information.","Please check billing address information."
"Please check shipping address information.","Please check shipping address information."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please log in below:","Přihlaste se níže:"
"Please select region, state or province","Please select region, state or province"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Please select shipping methods for all addresses"
"Please select valid payment method.","Please select valid payment method."
"Please specify payment method.","Vyberte si způsob platby."
"Please specify shipping method.","Vyberte si způsob dopravy."
"Please specify shipping methods for all addresses.","Vyberte si způsob dopravy pro všechny adresy."
"Price","Cena"
"Proceed to Checkout","K pokladně"
"Product","Produkt"
"Product Name","Název produktu"
"Products","Produkty"
"Qty","Množství"
"Qty:","Množství:"
"Quantity","Množství"
"Quantity was recalculated from %d to %d","Quantity was recalculated from %d to %d"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Quote item does not exist.","Quote item does not exist."
"Quote item is not found.","Quote item is not found."
"Recently added item(s)","Právě přidané"
"Register","Register"
"Register and save time!","Register and save time!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Remove Item","Odebrat položku"
"Remove This Item","Odebrat tuto položku"
"Remove coupon code from shopping cart","Remove coupon code from shopping cart"
"Remove item","Odebrat položku"
"Remove product from shopping cart","Odebrat produkt z košíku"
"Remove product(s) from shopping cart","Odebrat produkty z košíku"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Retrieve information about shopping cart","Retrieve information about shopping cart"
"Review Order","Review Order"
"Review Order - %s","Review Order - %s"
"SKU","SKU"
"Sales","Prodeje"
"Save Condition","Save Condition"
"Save in address book","Uložit do adresáře"
"See price before order confirmation.","See price before order confirmation."
"Select Address","Vyberte adresu"
"Select Addresses","Výběr adreses"
"Select Shipping Method","Vyberte způsob dopravy"
"Select State/Province...","Vyberte kraj..."
"Select a billing address from your address book or enter a new address.","Vyberte fakturační adresu z adresáře nebo zadejte novou adresu."
"Select a shipping address from your address book or enter a new address.","Vyberte fakturační adresu z adresáře nebo zadejte novou adresu."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","Odeslat na"
"Separate by "","".","Oddělené pomocí "",""."
"Set customer for shopping cart","Set customer for shopping cart"
"Set customer's addresses in shopping cart","Set customer's addresses in shopping cart"
"Set payment method","Set payment method"
"Set shipping method","Set shipping method"
"Ship to Multiple Addresses","Ship to Multiple Addresses"
"Ship to different address","Doručit na jinou adresu"
"Ship to this address","Doručit na výše uvedenou adresu"
"Shipping Address","Doručovací adresa"
"Shipping Information","Informace o dopravě"
"Shipping Method","Způsob dopravy"
"Shipping Methods","Způsoby dopravy"
"Shipping To","Shipping To"
"Shipping information","Informace o dopravě"
"Shipping method has not been selected yet","Shipping method has not been selected yet"
"Shipping methods in shopping cart","Způsoby dopravy v košíku"
"Shipping selection is not applicable.","Shipping selection is not applicable."
"Shopping Cart","Košík"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart Items After","Shopping Cart Items After"
"Shopping Cart Items Before","Shopping Cart Items Before"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","Nákupní košík je prázdný"
"Shopping cart ability to set coupon code","Shopping cart ability to set coupon code"
"Show Content as","Show Content as"
"Some of the requested products are not available in the desired quantity.","Some of the requested products are not available in the desired quantity."
"Some of the requested products are unavailable.","Some of the requested products are unavailable."
"Some products quantities were recalculated because of quantity increment mismatch","Some products quantities were recalculated because of quantity increment mismatch"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Stát / provincie"
"Status","Status"
"Store View","Store View"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submitting order information...","Odesílám objednávku..."
"Subtotal","Mezisoučet"
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Telephone","Telefon"
"Terms and Conditions","Obchodní podmínky"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Obchodní podmínky"
"Text","Text"
"Thank you for your purchase!","Děkujeme za Váš nákup!"
"The condition has been deleted","The condition has been deleted"
"The condition has been saved.","The condition has been saved."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"The product could not be found.","The product could not be found."
"The product does not exist.","Zboží neexistuje."
"There are <a href=""%s"">%s items</a> in your cart.","Máte <a href=""%s""> %s položek</a> v košíku."
"There is <a href=""%s"">1 item</a> in your cart.","V košíku je <a href=""%s""> 1 položka</a>."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Je již zákazník registrován pomocí této e-mailovou adresu. Přihlašte pomocí této e-mailové adresy nebo zadejte jinou e-mailovou adresu a zaregistrovat svůj účet."
"There was an error processing your order. Please contact us or try again later.","Došlo k chybě při zpracování vaší objednávky. Prosím, kontaktujte nás, nebo opakujte akci později."
"This condition no longer exists.","This condition no longer exists."
"Total","Celkem"
"Total for this address","Total for this address"
"Unable to set Payment Method.","Platbu nelze nastavit."
"Unit Price","Cena za jednotku"
"Update","Aktualizovat"
"Update Cart","Aktualizovat košík"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Update Shopping Cart","Aktualizovat nákupní košík"
"Update Total","Aktualizovat souhrn"
"Update product quantities in shopping cart","Aktualizovat množství zboží v nákupním košíku"
"Update product(s) quantities in shopping cart","Update product(s) quantities in shopping cart"
"Use Billing Address","Použít fakturační adresu"
"VAT Number","DIČ"
"View Shopping Cart","Zobrazit nákupní košík"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress."
"What&#39;s this?","Co s tím?"
"What's this?","Co to je?"
"You have no items in your shopping cart.","Zatím nemáte v košíku žádné zboží."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Na Váš e-mail bude odesláno potvrzení objednávky spolu s podrobnostmi."
"Your Checkout Progress","Your Checkout Progress"
"Your billing agreement # is: %s.","Your billing agreement # is: %s."
"Your order # is: %s.","Číslo Vaší objednávky je: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Vaše objednávka nemůže být momentálně dokončena, neboť neexistuje odpovídající platební metoda."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your order has been received.","Vaše objednávka byla přijata."
"Your order number is ","Vaše číslo objednávky je "
"Your recurring payment profiles:","Your recurring payment profiles:"
"Zip/Postal Code","PSČ/kód pošty"
"ok","ok"
"or","nebo"
